127.0.0.1 - - [31/Oct/2018:10:02:52 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:02:55 +0900] "GET /Book/home.jsp HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:02:55 +0900] "GET /Book/CSS/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:03:24 +0900] "POST /Book/LoginAction;jsessionid=5DF784C6F2FB0099E4C29857EABB6891 HTTP/1.1" 200 3431
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:03:54 +0900] "GET /Book/home.jsp HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:03:55 +0900] "GET /Book/CSS/style.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:03:55 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:04:22 +0900] "GET /sample-web/ HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:04:24 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 9429
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:04:36 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:04:36 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:04:36 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:04:36 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 233
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:05:16 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:05:18 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:05:19 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:05:37 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:05:38 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:05:39 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:05:39 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:05:40 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:05:40 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:05:59 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:06:50 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:06:52 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:06:53 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:06:53 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:06:53 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:06:54 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:07:46 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:07:49 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:07:51 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:22:10 +0900] "POST /Book/LoginAction HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:23:05 +0900] "POST /Book/LoginAction HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:24:23 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:24:31 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:24:32 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:24:33 +0900] "POST /Book/LoginAction.action HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:26:12 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:26:14 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:27:25 +0900] "GET /Book/home.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:28:52 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:33:20 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:33:21 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:39:57 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:39:59 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:40:00 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:41:40 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:41:42 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:41:43 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:42:27 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:42:28 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [31/Oct/2018:10:42:28 +0900] "GET /Book/home.jsp HTTP/1.1" 200 1660
